,building size,conv cost @20,green ben,green cost,green ins,green net
0,935.6666666666666,9213.828123999267,,0.0,0,
1,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
2,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
3,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
4,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
5,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
6,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
7,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
8,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
9,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
10,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
11,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
12,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
13,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
14,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
15,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
16,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
17,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
18,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
19,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
20,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
21,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
22,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
23,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
24,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
25,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
26,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
27,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
28,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
29,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
30,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
31,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
32,935.6666666666666,9213.828123999267,0.0,0.0,0,0.0
